quantile,target_end_date,value
0.01,2026-01-01,3154.91
0.01,2026-01-02,3001.97
0.01,2026-01-03,2797.95
0.01,2026-01-04,2589.51
0.01,2026-01-05,2348.01
0.01,2026-01-06,2096.93
0.01,2026-01-07,1909.79
0.01,2026-01-08,1734.52
0.01,2026-01-09,1550.92
0.01,2026-01-10,1430.96
0.01,2026-01-11,1291.77
0.01,2026-01-12,1133.94
0.01,2026-01-13,1055.92
0.01,2026-01-14,915.97
0.025,2026-01-01,3299.0
0.025,2026-01-02,3210.225
0.025,2026-01-03,2948.725
0.025,2026-01-04,2730.875
0.025,2026-01-05,2496.0
0.025,2026-01-06,2266.625
0.025,2026-01-07,2102.8
0.025,2026-01-08,1898.95
0.025,2026-01-09,1727.0
0.025,2026-01-10,1587.375
0.025,2026-01-11,1425.925
0.025,2026-01-12,1354.4750000000001
0.025,2026-01-13,1226.575
0.025,2026-01-14,1115.975
0.05,2026-01-01,3455.85
0.05,2026-01-02,3323.65
0.05,2026-01-03,3135.75
0.05,2026-01-04,2900.9
0.05,2026-01-05,2697.9
0.05,2026-01-06,2467.9
0.05,2026-01-07,2279.0
0.05,2026-01-08,2100.65
0.05,2026-01-09,1937.0
0.05,2026-01-10,1786.85
0.05,2026-01-11,1643.8
0.05,2026-01-12,1508.9
0.05,2026-01-13,1396.4
0.05,2026-01-14,1318.3
0.1,2026-01-01,3613.7
0.1,2026-01-02,3487.8
0.1,2026-01-03,3297.5
0.1,2026-01-04,3067.8
0.1,2026-01-05,2871.0
0.1,2026-01-06,2660.9
0.1,2026-01-07,2488.5
0.1,2026-01-08,2320.9
0.1,2026-01-09,2180.8
0.1,2026-01-10,2009.9
0.1,2026-01-11,1866.0
0.1,2026-01-12,1748.9
0.1,2026-01-13,1616.7
0.1,2026-01-14,1514.9
0.15,2026-01-01,3741.65
0.15,2026-01-02,3621.7
0.15,2026-01-03,3445.65
0.15,2026-01-04,3235.7
0.15,2026-01-05,3037.95
0.15,2026-01-06,2859.7
0.15,2026-01-07,2672.7
0.15,2026-01-08,2500.0
0.15,2026-01-09,2339.55
0.15,2026-01-10,2198.55
0.15,2026-01-11,2063.95
0.15,2026-01-12,1929.0
0.15,2026-01-13,1799.7
0.15,2026-01-14,1691.85
0.2,2026-01-01,3839.0
