quantile,target_end_date,value
0.01,2026-01-01,5656.97
0.01,2026-01-02,5805.98
0.01,2026-01-03,6042.97
0.01,2026-01-04,6267.95
0.01,2026-01-05,6493.87
0.01,2026-01-06,6731.95
0.01,2026-01-07,6990.92
0.01,2026-01-08,7258.91
0.01,2026-01-09,7529.98
0.01,2026-01-10,7808.97
0.01,2026-01-11,8116.95
0.01,2026-01-12,8422.87
0.01,2026-01-13,8738.8
0.01,2026-01-14,9043.6
0.025,2026-01-01,5679.9
0.025,2026-01-02,5848.95
0.025,2026-01-03,6075.975
0.025,2026-01-04,6296.975
0.025,2026-01-05,6530.0
0.025,2026-01-06,6774.825
0.025,2026-01-07,7049.975
0.025,2026-01-08,7319.975
0.025,2026-01-09,7612.975
0.025,2026-01-10,7869.925
0.025,2026-01-11,8179.95
0.025,2026-01-12,8513.95
0.025,2026-01-13,8842.975
0.025,2026-01-14,9132.925
0.05,2026-01-01,5700.0
0.05,2026-01-02,5874.9
0.05,2026-01-03,6098.95
0.05,2026-01-04,6331.95
0.05,2026-01-05,6567.85
0.05,2026-01-06,6826.0
0.05,2026-01-07,7103.85
0.05,2026-01-08,7374.95
0.05,2026-01-09,7661.85
0.05,2026-01-10,7959.85
0.05,2026-01-11,8263.8
0.05,2026-01-12,8584.85
0.05,2026-01-13,8917.95
0.05,2026-01-14,9248.9
0.1,2026-01-01,5727.9
0.1,2026-01-02,5904.0
0.1,2026-01-03,6126.9
0.1,2026-01-04,6370.9
0.1,2026-01-05,6617.0
0.1,2026-01-06,6874.9
0.1,2026-01-07,7155.8
0.1,2026-01-08,7433.0
0.1,2026-01-09,7735.0
0.1,2026-01-10,8034.7
0.1,2026-01-11,8355.7
0.1,2026-01-12,8675.9
0.1,2026-01-13,9011.9
0.1,2026-01-14,9355.8
0.15,2026-01-01,5744.85
0.15,2026-01-02,5928.85
0.15,2026-01-03,6156.85
0.15,2026-01-04,6401.0
0.15,2026-01-05,6646.0
0.15,2026-01-06,6904.85
0.15,2026-01-07,7188.0
0.15,2026-01-08,7466.7
0.15,2026-01-09,7776.0
0.15,2026-01-10,8088.55
0.15,2026-01-11,8411.85
0.15,2026-01-12,8742.0
0.15,2026-01-13,9085.7
0.15,2026-01-14,9429.0
0.2,2026-01-01,5763.8
0.2,2026-01-02,5948.0
0.2,2026-01-03,6172.0
0.2,2026-01-04,6421.0
0.2,2026-01-05,6671.0
