quantile,target_end_date,value
0.01,2026-01-01,5234.98
0.01,2026-01-02,5317.99
0.01,2026-01-03,5437.99
0.01,2026-01-04,5540.94
0.01,2026-01-05,5593.93
0.01,2026-01-06,5699.99
0.01,2026-01-07,5799.97
0.01,2026-01-08,5917.97
0.01,2026-01-09,6003.97
0.01,2026-01-10,6098.94
0.01,2026-01-11,6230.92
0.01,2026-01-12,6339.88
0.01,2026-01-13,6443.82
0.01,2026-01-14,6519.89
0.025,2026-01-01,5270.0
0.025,2026-01-02,5369.0
0.025,2026-01-03,5466.975
0.025,2026-01-04,5571.95
0.025,2026-01-05,5664.975
0.025,2026-01-06,5752.975
0.025,2026-01-07,5887.0
0.025,2026-01-08,5988.825
0.025,2026-01-09,6090.725
0.025,2026-01-10,6182.85
0.025,2026-01-11,6306.675
0.025,2026-01-12,6418.875
0.025,2026-01-13,6554.95
0.025,2026-01-14,6626.85
0.05,2026-01-01,5295.0
0.05,2026-01-02,5391.95
0.05,2026-01-03,5499.0
0.05,2026-01-04,5601.95
0.05,2026-01-05,5710.95
0.05,2026-01-06,5809.9
0.05,2026-01-07,5940.95
0.05,2026-01-08,6047.95
0.05,2026-01-09,6145.9
0.05,2026-01-10,6266.85
0.05,2026-01-11,6368.0
0.05,2026-01-12,6507.95
0.05,2026-01-13,6616.95
0.05,2026-01-14,6738.85
0.1,2026-01-01,5328.0
0.1,2026-01-02,5430.0
0.1,2026-01-03,5542.9
0.1,2026-01-04,5641.0
0.1,2026-01-05,5761.7
0.1,2026-01-06,5872.9
0.1,2026-01-07,5995.0
0.1,2026-01-08,6106.0
0.1,2026-01-09,6233.9
0.1,2026-01-10,6354.0
0.1,2026-01-11,6484.8
0.1,2026-01-12,6603.9
0.1,2026-01-13,6739.9
0.1,2026-01-14,6854.9
0.15,2026-01-01,5348.0
0.15,2026-01-02,5456.0
0.15,2026-01-03,5566.85
0.15,2026-01-04,5676.0
0.15,2026-01-05,5794.7
0.15,2026-01-06,5908.0
0.15,2026-01-07,6032.85
0.15,2026-01-08,6147.85
0.15,2026-01-09,6283.0
0.15,2026-01-10,6418.85
0.15,2026-01-11,6537.85
0.15,2026-01-12,6665.85
0.15,2026-01-13,6811.7
0.15,2026-01-14,6940.85
0.2,2026-01-01,5366.0
0.2,2026-01-02,5473.0
0.2,2026-01-03,5587.0
0.2,2026-01-04,5699.0
0.2,2026-01-05,5818.8
0.2,2026-01-06,5941.0
0.2,2026-01-07,6064.6
0.2,2026-01-08,6179.0
0.2,2026-01-09,6330.8
0.2,2026-01-10,6450.8
0.2,2026-01-11,6582.8
0.2,2026-01-12,6714.8
0.2,2026-01-13,6856.0
0.2,2026-01-14,6983.6
0.25,2026-01-01,5380.0
0.25,2026-01-02,5490.0
0.25,2026-01-03,5605.0
0.25,2026-01-04,5718.0
0.25,2026-01-05,5842.0
0.25,2026-01-06,5965.75
0.25,2026-01-07,6095.0
0.25,2026-01-08,6219.0
0.25,2026-01-09,6360.75
0.25,2026-01-10,6486.75
0.25,2026-01-11,6623.75
0.25,2026-01-12,6754.75
0.25,2026-01-13,6913.0
0.25,2026-01-14,7041.75
0.3,2026-01-01,5394.7
0.3,2026-01-02,5507.0
0.3,2026-01-03,5620.0
0.3,2026-01-04,5736.7
0.3,2026-01-05,5862.0
0.3,2026-01-06,5989.7
0.3,2026-01-07,6119.7
0.3,2026-01-08,6245.0
0.3,2026-01-09,6384.0
0.3,2026-01-10,6521.0
0.3,2026-01-11,6656.0
0.3,2026-01-12,6798.0
0.3,2026-01-13,6953.0
0.3,2026-01-14,7094.0
0.35,2026-01-01,5406.0
0.35,2026-01-02,5520.65
0.35,2026-01-03,5634.0
0.35,2026-01-04,5752.65
0.35,2026-01-05,5883.0
0.35,2026-01-06,6010.0
0.35,2026-01-07,6140.0
0.35,2026-01-08,6266.0
0.35,2026-01-09,6413.0
0.35,2026-01-10,6557.65
0.35,2026-01-11,6692.65
0.35,2026-01-12,6834.0
0.35,2026-01-13,6984.0
0.35,2026-01-14,7136.65
0.4,2026-01-01,5420.0
0.4,2026-01-02,5533.0
0.4,2026-01-03,5649.0
0.4,2026-01-04,5768.0
0.4,2026-01-05,5898.0
0.4,2026-01-06,6030.0
0.4,2026-01-07,6165.0
0.4,2026-01-08,6296.0
0.4,2026-01-09,6439.0
0.4,2026-01-10,6582.6
0.4,2026-01-11,6724.2
0.4,2026-01-12,6877.0
0.4,2026-01-13,7021.6
0.4,2026-01-14,7183.0
0.45,2026-01-01,5430.0
0.45,2026-01-02,5544.0
0.45,2026-01-03,5660.55
0.45,2026-01-04,5788.55
0.45,2026-01-05,5915.55
0.45,2026-01-06,6046.0
0.45,2026-01-07,6189.0
0.45,2026-01-08,6323.55
0.45,2026-01-09,6458.0
0.45,2026-01-10,6614.0
0.45,2026-01-11,6758.0
0.45,2026-01-12,6909.0
0.45,2026-01-13,7061.0
0.45,2026-01-14,7220.0
0.5,2026-01-01,5441.0
0.5,2026-01-02,5554.0
0.5,2026-01-03,5672.0
0.5,2026-01-04,5808.0
0.5,2026-01-05,5931.5
0.5,2026-01-06,6062.5
0.5,2026-01-07,6211.0
0.5,2026-01-08,6351.0
0.5,2026-01-09,6484.0
0.5,2026-01-10,6649.0
0.5,2026-01-11,6784.0
0.5,2026-01-12,6949.5
0.5,2026-01-13,7102.0
0.5,2026-01-14,7266.0
0.55,2026-01-01,5451.45
0.55,2026-01-02,5565.45
0.55,2026-01-03,5689.45
0.55,2026-01-04,5826.0
0.55,2026-01-05,5950.0
0.55,2026-01-06,6086.0
0.55,2026-01-07,6229.0
0.55,2026-01-08,6376.45
0.55,2026-01-09,6510.45
0.55,2026-01-10,6677.0
0.55,2026-01-11,6815.0
0.55,2026-01-12,6977.45
0.55,2026-01-13,7134.0
0.55,2026-01-14,7310.0
0.6,2026-01-01,5467.0
0.6,2026-01-02,5579.4
