quantile,target_end_date,value
0.01,2026-01-01,5641.98
0.01,2026-01-02,5823.98
0.01,2026-01-03,6021.99
0.01,2026-01-04,6260.93
0.01,2026-01-05,6448.74
0.01,2026-01-06,6680.98
0.01,2026-01-07,6919.89
0.01,2026-01-08,7164.98
0.01,2026-01-09,7441.95
0.01,2026-01-10,7706.98
0.01,2026-01-11,8002.96
0.01,2026-01-12,8305.75
0.01,2026-01-13,8577.85
0.01,2026-01-14,8846.92
0.025,2026-01-01,5678.975
0.025,2026-01-02,5867.975
0.025,2026-01-03,6064.9
0.025,2026-01-04,6288.975
0.025,2026-01-05,6534.975
0.025,2026-01-06,6762.975
0.025,2026-01-07,7032.0
0.025,2026-01-08,7293.725
0.025,2026-01-09,7575.85
0.025,2026-01-10,7814.75
0.025,2026-01-11,8107.85
0.025,2026-01-12,8407.9
0.025,2026-01-13,8739.525
0.025,2026-01-14,9011.925
0.05,2026-01-01,5713.95
0.05,2026-01-02,5896.0
0.05,2026-01-03,6120.85
0.05,2026-01-04,6331.0
0.05,2026-01-05,6586.9
0.05,2026-01-06,6824.95
0.05,2026-01-07,7097.8
0.05,2026-01-08,7373.0
0.05,2026-01-09,7649.95
0.05,2026-01-10,7927.0
0.05,2026-01-11,8224.9
0.05,2026-01-12,8588.8
0.05,2026-01-13,8889.2
0.05,2026-01-14,9215.9
0.1,2026-01-01,5754.9
0.1,2026-01-02,5940.9
0.1,2026-01-03,6160.9
0.1,2026-01-04,6382.9
0.1,2026-01-05,6655.9
0.1,2026-01-06,6917.9
0.1,2026-01-07,7193.0
0.1,2026-01-08,7463.0
0.1,2026-01-09,7760.0
0.1,2026-01-10,8060.7
0.1,2026-01-11,8405.0
0.1,2026-01-12,8730.8
0.1,2026-01-13,9084.0
0.1,2026-01-14,9415.9
0.15,2026-01-01,5776.85
0.15,2026-01-02,5963.0
0.15,2026-01-03,6193.0
0.15,2026-01-04,6432.0
0.15,2026-01-05,6700.0
0.15,2026-01-06,6973.4
0.15,2026-01-07,7251.85
0.15,2026-01-08,7530.85
0.15,2026-01-09,7845.55
0.15,2026-01-10,8166.85
0.15,2026-01-11,8488.0
0.15,2026-01-12,8836.7
0.15,2026-01-13,9192.4
0.15,2026-01-14,9557.85
0.2,2026-01-01,5800.0
0.2,2026-01-02,5982.0
0.2,2026-01-03,6217.0
0.2,2026-01-04,6458.8
0.2,2026-01-05,6729.8
0.2,2026-01-06,7003.0
0.2,2026-01-07,7291.0
0.2,2026-01-08,7577.8
0.2,2026-01-09,7910.8
0.2,2026-01-10,8216.8
0.2,2026-01-11,8557.0
0.2,2026-01-12,8910.8
0.2,2026-01-13,9273.6
0.2,2026-01-14,9651.2
0.25,2026-01-01,5816.0
0.25,2026-01-02,6000.0
0.25,2026-01-03,6242.75
0.25,2026-01-04,6481.0
0.25,2026-01-05,6755.0
0.25,2026-01-06,7031.75
0.25,2026-01-07,7332.0
0.25,2026-01-08,7642.25
0.25,2026-01-09,7954.0
0.25,2026-01-10,8280.0
0.25,2026-01-11,8617.5
0.25,2026-01-12,8978.0
0.25,2026-01-13,9351.75
0.25,2026-01-14,9724.75
0.3,2026-01-01,5833.0
0.3,2026-01-02,6016.0
0.3,2026-01-03,6260.7
0.3,2026-01-04,6505.0
0.3,2026-01-05,6783.7
0.3,2026-01-06,7068.0
0.3,2026-01-07,7365.0
0.3,2026-01-08,7677.7
0.3,2026-01-09,7996.7
