quantile,target_end_date,value
0.01,2026-01-01,2890.83
0.01,2026-01-02,2724.96
0.01,2026-01-03,2501.93
0.01,2026-01-04,2246.98
0.01,2026-01-05,2031.45
0.01,2026-01-06,1784.95
0.01,2026-01-07,1586.97
0.01,2026-01-08,1419.87
0.01,2026-01-09,1259.99
0.01,2026-01-10,1133.89
0.01,2026-01-11,1014.94
0.01,2026-01-12,876.98
0.01,2026-01-13,791.97
0.01,2026-01-14,670.98
0.025,2026-01-01,3015.0
0.025,2026-01-02,2841.775
0.025,2026-01-03,2603.0
0.025,2026-01-04,2359.975
0.025,2026-01-05,2119.725
0.025,2026-01-06,1904.9
0.025,2026-01-07,1708.95
0.025,2026-01-08,1515.975
0.025,2026-01-09,1380.575
0.025,2026-01-10,1213.0
0.025,2026-01-11,1122.95
0.025,2026-01-12,987.925
0.025,2026-01-13,887.85
0.025,2026-01-14,796.65
0.05,2026-01-01,3120.45
0.05,2026-01-02,2962.9
0.05,2026-01-03,2737.0
0.05,2026-01-04,2493.0
0.05,2026-01-05,2264.65
0.05,2026-01-06,2032.0
0.05,2026-01-07,1835.95
0.05,2026-01-08,1666.95
0.05,2026-01-09,1509.6
0.05,2026-01-10,1360.9
0.05,2026-01-11,1212.85
0.05,2026-01-12,1106.6
0.05,2026-01-13,1002.85
0.05,2026-01-14,906.8
0.1,2026-01-01,3239.9
0.1,2026-01-02,3083.3
0.1,2026-01-03,2881.6
0.1,2026-01-04,2648.0
0.1,2026-01-05,2416.8
0.1,2026-01-06,2191.0
0.1,2026-01-07,2003.9
0.1,2026-01-08,1831.0
0.1,2026-01-09,1656.7
0.1,2026-01-10,1498.7
0.1,2026-01-11,1359.8
0.1,2026-01-12,1230.7
0.1,2026-01-13,1128.8
0.1,2026-01-14,1016.9
0.15,2026-01-01,3332.85
0.15,2026-01-02,3181.0
0.15,2026-01-03,2960.0
0.15,2026-01-04,2736.0
0.15,2026-01-05,2520.85
0.15,2026-01-06,2302.55
0.15,2026-01-07,2106.7
0.15,2026-01-08,1925.7
0.15,2026-01-09,1766.0
0.15,2026-01-10,1613.25
0.15,2026-01-11,1469.85
0.15,2026-01-12,1347.55
0.15,2026-01-13,1244.7
0.15,2026-01-14,1124.55
0.2,2026-01-01,3414.8
0.2,2026-01-02,3256.0
0.2,2026-01-03,3057.0
0.2,2026-01-04,2819.8
0.2,2026-01-05,2603.8
0.2,2026-01-06,2400.0
0.2,2026-01-07,2192.8
0.2,2026-01-08,2027.6
0.2,2026-01-09,1857.4
0.2,2026-01-10,1707.8
0.2,2026-01-11,1562.0
0.2,2026-01-12,1439.8
0.2,2026-01-13,1314.8
0.2,2026-01-14,1216.6000000000001
0.25,2026-01-01,3475.0
0.25,2026-01-02,3323.0
0.25,2026-01-03,3118.75
0.25,2026-01-04,2897.25
0.25,2026-01-05,2663.25
0.25,2026-01-06,2456.75
0.25,2026-01-07,2277.25
0.25,2026-01-08,2101.5
0.25,2026-01-09,1951.25
0.25,2026-01-10,1780.25
0.25,2026-01-11,1641.5
0.25,2026-01-12,1517.25
0.25,2026-01-13,1386.0
0.25,2026-01-14,1282.0
0.3,2026-01-01,3521.7
0.3,2026-01-02,3372.4
0.3,2026-01-03,3175.7
0.3,2026-01-04,2953.4
0.3,2026-01-05,2734.4
0.3,2026-01-06,2532.0
0.3,2026-01-07,2349.7
0.3,2026-01-08,2174.0
0.3,2026-01-09,2017.1999999999998
0.3,2026-01-10,1859.7
0.3,2026-01-11,1715.7
0.3,2026-01-12,1581.0
0.3,2026-01-13,1466.0
0.3,2026-01-14,1349.0
0.35,2026-01-01,3573.0
0.35,2026-01-02,3432.3
0.35,2026-01-03,3230.0
0.35,2026-01-04,3003.0
0.35,2026-01-05,2796.3
0.35,2026-01-06,2597.65
0.35,2026-01-07,2413.65
0.35,2026-01-08,2248.0
0.35,2026-01-09,2080.3
0.35,2026-01-10,1927.65
0.35,2026-01-11,1780.65
0.35,2026-01-12,1647.0
0.35,2026-01-13,1528.9499999999998
0.35,2026-01-14,1424.0
0.4,2026-01-01,3610.2
0.4,2026-01-02,3481.0
0.4,2026-01-03,3285.6
0.4,2026-01-04,3063.0
0.4,2026-01-05,2868.2
0.4,2026-01-06,2671.2
0.4,2026-01-07,2473.2
0.4,2026-01-08,2294.4
0.4,2026-01-09,2139.2
0.4,2026-01-10,1996.6
0.4,2026-01-11,1863.6
0.4,2026-01-12,1720.4
0.4,2026-01-13,1599.6
0.4,2026-01-14,1485.0
0.45,2026-01-01,3646.55
0.45,2026-01-02,3531.55
0.45,2026-01-03,3326.55
0.45,2026-01-04,3125.2
0.45,2026-01-05,2917.55
0.45,2026-01-06,2728.55
0.45,2026-01-07,2548.55
0.45,2026-01-08,2367.55
0.45,2026-01-09,2205.65
0.45,2026-01-10,2055.55
0.45,2026-01-11,1915.0
0.45,2026-01-12,1775.0
0.45,2026-01-13,1667.0
0.45,2026-01-14,1561.55
0.5,2026-01-01,3701.0
0.5,2026-01-02,3581.0
0.5,2026-01-03,3374.0
0.5,2026-01-04,3174.0
0.5,2026-01-05,2974.0
0.5,2026-01-06,2782.0
0.5,2026-01-07,2597.0
0.5,2026-01-08,2426.5
0.5,2026-01-09,2284.0
0.5,2026-01-10,2126.5
0.5,2026-01-11,1977.0
0.5,2026-01-12,1851.0
0.5,2026-01-13,1743.0
0.5,2026-01-14,1620.5
0.55,2026-01-01,3748.0
0.55,2026-01-02,3632.0
0.55,2026-01-03,3433.0
0.55,2026-01-04,3239.3500000000004
0.55,2026-01-05,3051.0
0.55,2026-01-06,2855.3500000000004
0.55,2026-01-07,2671.25
0.55,2026-01-08,2503.45
0.55,2026-01-09,2344.9
0.55,2026-01-10,2190.45
0.55,2026-01-11,2061.45
0.55,2026-01-12,1927.9
0.55,2026-01-13,1814.8000000000002
0.55,2026-01-14,1685.9
0.6,2026-01-01,3792.4
0.6,2026-01-02,3681.4
0.6,2026-01-03,3482.0
0.6,2026-01-04,3293.4
0.6,2026-01-05,3112.6
