quantile,target_end_date,value
0.01,2026-01-01,5089.99
0.01,2026-01-02,5168.98
0.01,2026-01-03,5215.99
0.01,2026-01-04,5284.91
0.01,2026-01-05,5338.98
0.01,2026-01-06,5329.95
0.01,2026-01-07,5401.7
0.01,2026-01-08,5447.79
0.01,2026-01-09,5503.73
0.01,2026-01-10,5539.8
0.01,2026-01-11,5603.99
0.01,2026-01-12,5662.87
0.01,2026-01-13,5722.65
0.01,2026-01-14,5693.93
0.025,2026-01-01,5128.95
0.025,2026-01-02,5205.975
0.025,2026-01-03,5262.875
0.025,2026-01-04,5334.9
0.025,2026-01-05,5399.0
0.025,2026-01-06,5453.0
0.025,2026-01-07,5491.85
0.025,2026-01-08,5556.95
0.025,2026-01-09,5613.875
0.025,2026-01-10,5652.875
0.025,2026-01-11,5719.85
0.025,2026-01-12,5785.8
0.025,2026-01-13,5841.925
0.025,2026-01-14,5875.7
0.05,2026-01-01,5179.0
0.05,2026-01-02,5240.9
0.05,2026-01-03,5315.95
0.05,2026-01-04,5380.8
0.05,2026-01-05,5449.85
0.05,2026-01-06,5530.95
0.05,2026-01-07,5577.9
0.05,2026-01-08,5621.85
0.05,2026-01-09,5704.0
0.05,2026-01-10,5784.85
0.05,2026-01-11,5858.8
0.05,2026-01-12,5927.85
0.05,2026-01-13,5990.95
0.05,2026-01-14,6059.4
0.1,2026-01-01,5225.0
0.1,2026-01-02,5301.8
0.1,2026-01-03,5369.9
0.1,2026-01-04,5448.0
0.1,2026-01-05,5526.9
0.1,2026-01-06,5605.0
0.1,2026-01-07,5669.9
0.1,2026-01-08,5749.9
0.1,2026-01-09,5845.8
0.1,2026-01-10,5919.8
0.1,2026-01-11,6005.8
0.1,2026-01-12,6076.9
0.1,2026-01-13,6155.2
0.1,2026-01-14,6218.9
0.15,2026-01-01,5245.85
0.15,2026-01-02,5339.0
0.15,2026-01-03,5411.85
0.15,2026-01-04,5492.0
0.15,2026-01-05,5581.0
0.15,2026-01-06,5661.85
0.15,2026-01-07,5736.0
0.15,2026-01-08,5818.0
0.15,2026-01-09,5914.85
0.15,2026-01-10,6007.55
0.15,2026-01-11,6086.85
0.15,2026-01-12,6185.85
0.15,2026-01-13,6267.85
0.15,2026-01-14,6344.0
0.2,2026-01-01,5270.0
0.2,2026-01-02,5369.6
0.2,2026-01-03,5439.0
0.2,2026-01-04,5525.0
0.2,2026-01-05,5619.0
0.2,2026-01-06,5699.0
0.2,2026-01-07,5791.4
0.2,2026-01-08,5889.8
0.2,2026-01-09,5974.8
0.2,2026-01-10,6080.8
0.2,2026-01-11,6152.0
0.2,2026-01-12,6250.4
0.2,2026-01-13,6339.4
0.2,2026-01-14,6461.4
0.25,2026-01-01,5292.75
0.25,2026-01-02,5392.0
0.25,2026-01-03,5468.0
0.25,2026-01-04,5555.75
0.25,2026-01-05,5648.0
0.25,2026-01-06,5741.25
0.25,2026-01-07,5835.75
0.25,2026-01-08,5947.5
0.25,2026-01-09,6030.75
0.25,2026-01-10,6137.75
0.25,2026-01-11,6220.0
0.25,2026-01-12,6319.75
0.25,2026-01-13,6426.5
0.25,2026-01-14,6539.0
0.3,2026-01-01,5307.7
0.3,2026-01-02,5409.7
0.3,2026-01-03,5485.7
0.3,2026-01-04,5585.0
0.3,2026-01-05,5675.0
0.3,2026-01-06,5773.7
0.3,2026-01-07,5876.4
0.3,2026-01-08,5977.7
0.3,2026-01-09,6075.7
0.3,2026-01-10,6182.4
0.3,2026-01-11,6278.7
0.3,2026-01-12,6381.0
0.3,2026-01-13,6494.0
0.3,2026-01-14,6613.1
0.35,2026-01-01,5326.0
0.35,2026-01-02,5426.0
0.35,2026-01-03,5511.95
0.35,2026-01-04,5609.65
0.35,2026-01-05,5711.0
0.35,2026-01-06,5812.65
0.35,2026-01-07,5909.65
0.35,2026-01-08,6016.65
0.35,2026-01-09,6123.3
0.35,2026-01-10,6234.0
0.35,2026-01-11,6325.65
0.35,2026-01-12,6452.65
0.35,2026-01-13,6571.0
0.35,2026-01-14,6670.3
0.4,2026-01-01,5341.0
0.4,2026-01-02,5440.0
0.4,2026-01-03,5533.0
0.4,2026-01-04,5636.0
0.4,2026-01-05,5741.0
0.4,2026-01-06,5846.0
0.4,2026-01-07,5938.6
0.4,2026-01-08,6053.6
0.4,2026-01-09,6163.6
0.4,2026-01-10,6279.0
0.4,2026-01-11,6382.6
0.4,2026-01-12,6510.2
0.4,2026-01-13,6616.0
0.4,2026-01-14,6730.8
0.45,2026-01-01,5353.55
0.45,2026-01-02,5452.0
